0	1.041867	-1	6.85665
0	1.317742	-1	4.892777
0	1.496667	-1	9.162522
0	2.042805	-1	5.524834
0	2.127669	-1	4.260015
0	2.295564	-1	6.364997
0	3.598116	-1	2.032948
0	4.501019	-1	7.751531
0	4.512304	-1	7.090123
1	1.904181	-1	5.182378
1	2.606805	-1	0.3608205
1	2.757072	-1	0.7359736
1	2.923159	-1	9.730485
1	4.041111	-1	10.51781
1	4.71109	-1	10.40687
1	4.898858	-1	5.178668
1	5.079772	-1	8.79212
1	5.917394	-1	4.208826
2	2.467093	-1	6.806965
2	3.040314	-1	0.8161033
2	3.120028	-1	0.5195196
2	3.363274	-1	8.708064
2	3.811039	-1	3.669023
2	3.900909	-1	4.520476
2	4.534733	-1	1.767848
2	4.73805	-1	0.1345842
2	5.039367	-1	7.71363
