0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
9.214877,96.42805,0.1785705
2.312847,19.44637,0.1419443
1.496665,40.15474,0.4563039
10.04035,120.1121,0.2018691
6.037904,76.54317,0.2150089
9.537004,103.0908,0.1834356
4.66241,77.31818,0.2821831
2.029692,19.50558,0.1639125
1.59768,16.47695,0.1771715
4.567951,41.06716,0.1515393
1.876084,14.96242,0.1347966
1.419135,2.157158,0.02598986
15.303,226.5758,0.250637
3.2139,39.40746,0.2074077
2.684384,28.96921,0.1833494
2.837101,19.41949,0.1162844
1.564774,9.382543,0.1019842
4.460757,47.98299,0.1824448
24.63359,292.3837,0.2006752
3.536174,14.88241,0.07155004
4.609559,5.672874,0.02085616
4.145592,33.14658,0.1358466
3.171098,4.371599,0.02337754
4.355861,4.165934,0.01620986
7.486921,12.96842,0.02934031
3.033848,7.161611,0.040009
2.983711,3.740401,0.02137372
8.625965,90.42931,0.1766198
2.871092,31.53507,0.1855004
1.512565,15.07602,0.1693935
12.77192,142.0179,0.1868657
1.922743,20.02388,0.1772024
1.656054,19.7346,0.2013735
1.399156,14.49938,0.1746913
10.28493,229.1788,0.3806957
