0	1.053642	-1	4.71161
0	1.600179	-1	0.6110629
0	1.712065	-1	9.72427
0	1.813203	-1	7.028155
0	3.123036	-1	4.665443
0	3.880977	-1	2.88215
0	5.296991	-1	5.972612
0	5.716223	-1	8.408516
0	5.768023	-1	6.430562
1	1.96989	-1	7.166051
1	2.051617	-1	5.351428
1	2.489564	-1	5.022728
1	3.158651	-1	8.40472
1	3.176129	-1	5.652396
1	3.684706	-1	5.774552
1	4.528356	-1	7.055455
1	4.64004	-1	3.927994
1	4.900444	-1	0.6072234
2	1.447561	-1	4.507578
2	1.96095	-1	7.083334
2	2.188828	-1	10.26199
2	2.200792	-1	8.776156
2	2.571181	-1	2.447495
2	2.718797	-1	7.168203
2	4.10556	-1	2.112748
2	5.665563	-1	3.610703
2	5.865927	-1	2.808251
